0.0022043,-0.095066,0.0016766
-0.01403,-0.044228,-0.037176
0.020696,-0.13291,0.00051269
0.20591,-0.19573,0.050404
-0.023122,-0.00045579,0.03016
-0.44917,0.099659,0.075275
-0.011068,-0.24359,-0.010132
-0.25754,-0.022285,-0.0019817
0.056345,-0.14069,0.043718
-0.37457,0.093707,0.055399
-0.33378,-0.033713,0.080555
0.0018984,-0.18504,-0.0094533
0.15711,-0.16705,0.053845
-0.070475,0.050713,0.0082245
-0.30852,0.05558,0.049618
0.41765,-0.22112,-0.065155
-0.011623,-0.10019,-0.0098424
0.35023,0.90043,0.010785
-0.012949,-0.04721,-0.084356
0.10932,-0.12706,0.01049
0.23756,-0.24327,0.12189
0.24496,-0.13036,0.060701
